[runtime-proof] PHP syntax check started.
No syntax errors detected in D:\PhpstormProjects\www\Managing\.php-cs-fixer.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\ManagingBundle.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Admin\ManageDashboardController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\AbstractManageContentCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\ManageAttachmentIdentifierMigrationTrait.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\ManageCrudControllerCustomizationTrait.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\ManageCrudControllerRuntime.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\ManageCrudControllerRuntimeInjectionTrait.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\ManageCrudControllerSurfaceTrait.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\AnalysingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\ApplicatingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\AttachingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\BillingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\CatalogingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\CommissioningCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\CurrencingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\ExchangingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\LocalizingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\MessagingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\OrderingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\PagingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\PayingCrudController.php
No syntax errors detected in D:\PhpstormProjects\www\Managing\src\Controller\Crud\Generated\SubscriptingCrudController.php
